djinni_category,adzuna_query,itjobswatch_slug,notes
2d_animation,2d animator,,non-IT - ITJobsWatch n/a
2d_artist,2d artist,,non-IT - ITJobsWatch n/a
3d_animation,3d animator,,non-IT - ITJobsWatch n/a
3d_artist,3d artist,,non-IT - ITJobsWatch n/a
accountant,accountant finance,,non-IT - ITJobsWatch n/a
affiliate_manager,affiliate manager,,non-IT - ITJobsWatch n/a
android,android developer,android developer,
angular,angular developer,angular developer,
asp_net,asp.net developer,asp.net developer,
blazor,blazor developer,blazor developer,
business_analyst,business analyst IT,business analyst,
c,c programmer,c programmer,
cbdo,chief business development officer,,low volume - ITJobsWatch n/a
cco,chief commercial officer,,low volume - ITJobsWatch n/a
ceo,chief executive officer tech,,low volume - ITJobsWatch n/a
cfo,chief financial officer tech,,low volume - ITJobsWatch n/a
cio,chief information officer,chief information officer,
cmo,chief marketing officer tech,,low volume - ITJobsWatch n/a
content_design,content designer,,non-IT - ITJobsWatch n/a
content_manager,content manager,,non-IT - ITJobsWatch n/a
content_marketing,content marketing manager,,non-IT - ITJobsWatch n/a
content_writing,content writer,,non-IT - ITJobsWatch n/a
coo,chief operating officer,,low volume - ITJobsWatch n/a
cplusplus,c++ developer,c++ developer,
cpo,chief product officer,chief product officer,
cpp,c++ developer,c++ developer,same as cplusplus
cto,chief technology officer,chief technology officer,
data_analyst,data analyst,data analyst,
data_engineer,data engineer,data engineer,
data_science,data scientist,data scientist,
delivery_manager,delivery manager agile IT,delivery manager,
design,graphic designer,,non-IT - ITJobsWatch n/a
dev_ops,devops engineer,devops engineer,
digital_marketing,digital marketing,,non-IT - ITJobsWatch n/a
digital_marketing_manager,digital marketing manager,,non-IT - ITJobsWatch n/a
dotnet,.net developer,.net developer,
dotnet_cloud,.net cloud developer,.net developer,proxy
dotnet_desktop,.net desktop developer,.net developer,proxy
dotnet_mobile,.net mobile developer,xamarin developer,
dotnet_web,asp.net web developer,asp.net developer,
drupal,drupal developer,drupal developer,
elixir,elixir developer,elixir developer,
embedded,embedded software engineer,embedded software engineer,
engineering_manager,software engineering manager,engineering manager,
erp_systems,erp developer,erp developer,
finance_manager,finance manager,,non-IT - ITJobsWatch n/a
finances,financial analyst,,non-IT - ITJobsWatch n/a
financial_analyst,financial analyst,,non-IT - ITJobsWatch n/a
flutter,flutter developer,flutter developer,
fullstack,fullstack developer,full stack developer,
game_design,game designer,game designer,
game_developer,game developer,game developer,
gamedev,unity developer,unity developer,
golang,golang developer,golang developer,
graphic_design,graphic designer,,non-IT - ITJobsWatch n/a
head_chief,head of software engineering,head of engineering,
hr,hr manager,,non-IT - ITJobsWatch n/a
illustrator,illustrator designer,,non-IT - ITJobsWatch n/a
information_security,information security engineer,information security engineer,
ios,ios developer,ios developer,
java,java developer,java developer,
javascript,javascript developer,javascript developer,
kotlin,kotlin developer,kotlin developer,
laravel,laravel developer,laravel developer,
lead,tech lead,tech lead,
lead_generation,lead generation manager,,non-IT - ITJobsWatch n/a
magento,magento developer,magento developer,
marketing,marketing manager,,non-IT - ITJobsWatch n/a
marketing_analyst,marketing analyst,,non-IT - ITJobsWatch n/a
maui,.net maui developer,maui developer,
media_buying,media buyer,,non-IT - ITJobsWatch n/a
ml_ai,machine learning engineer,machine learning engineer,
motion_design,motion designer,,non-IT - ITJobsWatch n/a
ms_dynamics,microsoft dynamics developer,ms dynamics developer,
nocode,no code developer,no code developer,
node_js,node.js developer,node.js developer,
odoo,odoo developer,odoo developer,
penetration_tester,penetration tester,penetration tester,
php,php developer,php developer,
ppc,ppc specialist,,non-IT - ITJobsWatch n/a
pr_manager,pr manager,,non-IT - ITJobsWatch n/a
product_design,product designer,product designer,
product_manager,product manager,product manager,
product_owner,product owner,product owner,
project_manager,IT project manager software,it project manager,
python,python developer,python developer,
qa,qa engineer,qa engineer,
qa_automation,qa automation engineer,qa automation engineer,
qa_manual,manual qa tester,manual tester,
react,react developer,react developer,
react_native,react native developer,react native developer,
recruiter,it recruiter,it recruiter,
ruby,ruby developer,ruby developer,
rust,rust developer,rust developer,
sales,sales manager,,non-IT - ITJobsWatch n/a
sales_leadership,sales director,,non-IT - ITJobsWatch n/a
sales_manager,sales manager,,non-IT - ITJobsWatch n/a
salesforce,salesforce developer,salesforce developer,
sap,sap developer,sap developer,
scala,scala developer,scala developer,
scrum_master,scrum master,scrum master,
security,security engineer,security engineer,
security_analyst,security analyst,security analyst,
seo,seo specialist,,non-IT - ITJobsWatch n/a
social_media,social media manager,,non-IT - ITJobsWatch n/a
sql_dba,sql dba database administrator,sql dba,
support,technical support engineer,technical support engineer,
svelte,svelte developer,svelte developer,
symfony,symfony developer,symfony developer,
sysadmin,system administrator linux,systems administrator,
ui_ux,ux designer,ux designer,
unity,unity developer,unity developer,
unreal,unreal engine developer,unreal engine developer,
ux_research,ux researcher,ux researcher,
vue,vue.js developer,vue.js developer,
winforms,winforms developer,,low volume - ITJobsWatch n/a
wordpress,wordpress developer,wordpress developer,
wpf,wpf developer,wpf developer,
xamarin,xamarin developer,xamarin developer,
yii,yii developer,,low volume - ITJobsWatch n/a
